sig	state	n_sig_genes	obs	null_mean	null_sd	z	emp_p
M_autophagy_lysosome_CCDEP	AC	141	0.6035326028704595	0.5066032271375229	0.0249067469006846	3.891691521154548	0.0476190476190476
M_autophagy_lysosome_CCDEP	OPC	141	0.5935780717365631	0.5061566186743588	0.025581643547406	3.4173509180597144	0.0476190476190476
M_autophagy_lysosome_CCDEP	NPC	141	0.5964594732329646	0.507061466566318	0.0252624073963325	3.538776224455348	0.0476190476190476
M_autophagy_lysosome_CCDEP	Cycling	141	0.5961545928143869	0.5089689836288739	0.0236834222042897	3.681292696362153	0.0476190476190476
M_TNF_NFkB	MES	216	0.591804576073124	0.5182067578621098	0.0175522261682223	4.193075995354962	0.0476190476190476
M_TNF_NFkB	AC	216	0.5731586246703263	0.5183572073345952	0.0176886343677421	3.098114653535361	0.0476190476190476
M_TNF_NFkB	OPC	216	0.5620436209122668	0.5168049318825204	0.0175228869423754	2.5816915430953293	0.0476190476190476
M_TNF_NFkB	NPC	216	0.5661036471220402	0.5173506695965571	0.0176671777368996	2.7595226725804456	0.0476190476190476
M_TNF_NFkB	Cycling	216	0.5485958118219976	0.5182449078529421	0.017818858432315	1.703302379574062	0.0952380952380952
M_TNF_NFkB_CCDEP	MES	210	0.590997162300371	0.5065801442094052	0.0198538029726422	4.251931894725112	0.0476190476190476
M_TNF_NFkB_CCDEP	AC	210	0.5722268628796034	0.505749710213986	0.0196883803217232	3.3764663003929054	0.0476190476190476
M_TNF_NFkB_CCDEP	OPC	210	0.5574316636596062	0.5043878149108937	0.0180059262449606	2.945910586719082	0.0476190476190476
M_TNF_NFkB_CCDEP	NPC	210	0.5622197664216846	0.5042084969145597	0.0168068971461443	3.451634707030566	0.0476190476190476
M_TNF_NFkB_CCDEP	Cycling	210	0.5454343451875664	0.5054605050234477	0.0187803151149404	2.128496775451761	0.0476190476190476
M_p53_apoptosis	MES	329	0.6091596911154473	0.5070855229870816	0.0187024644239318	5.457792396479608	0.0476190476190476
M_p53_apoptosis	AC	329	0.598688766196083	0.5078891231645924	0.0171804092804645	5.285068681963063	0.0476190476190476
M_p53_apoptosis	OPC	329	0.5795383865371851	0.5064334819675435	0.0157284617903026	4.647937321799287	0.0476190476190476
M_p53_apoptosis	NPC	329	0.5865687838173353	0.5057365162173137	0.0176552592465963	4.578367639410614	0.0476190476190476
M_p53_apoptosis	Cycling	329	0.58877817888222	0.5063370305279844	0.0167336568261009	4.9266666103517	0.0476190476190476
M_p53_apoptosis_CCDEP	MES	314	0.6108810549754613	0.5077432991972184	0.0158201651205727	6.5193855432091015	0.0476190476190476
M_p53_apoptosis_CCDEP	AC	314	0.6012617337965384	0.5064376035580461	0.01589587456513	5.965329548240334	0.0476190476190476
M_p53_apoptosis_CCDEP	OPC	314	0.5798750951182862	0.5045757373999652	0.0164379086506709	4.580835635392546	0.0476190476190476
M_p53_apoptosis_CCDEP	NPC	314	0.5871667843639449	0.5044686238522077	0.0174871304868493	4.729086946193237	0.0476190476190476
M_p53_apoptosis_CCDEP	Cycling	314	0.5845102032865712	0.5061479643010685	0.0153956427222552	5.089897213074828	0.0476190476190476
M_RIGI_typeI_IFN	MES	133	0.5904403743007789	0.5090145516234447	0.0206031381540564	3.9521077841873735	0.0476190476190476
M_RIGI_typeI_IFN	AC	133	0.5903380255832699	0.5084489995441662	0.024095776539397	3.398480472509924	0.0476190476190476
M_RIGI_typeI_IFN	OPC	133	0.5674836128625563	0.5112934706617476	0.0238901421012792	2.352022100270385	0.0476190476190476
M_RIGI_typeI_IFN	NPC	133	0.5663277235030901	0.5092080324853816	0.0231636364700637	2.4659207154942573	0.0476190476190476
M_RIGI_typeI_IFN	Cycling	133	0.5691114595028613	0.5090316711314031	0.025159141395943	2.3879904097659765	0.0476190476190476
M_RIGI_typeI_IFN_CCDEP	MES	132	0.591907329584645	0.5041854077093448	0.0243671837667457	3.600002475255899	0.0476190476190476
M_RIGI_typeI_IFN_CCDEP	AC	132	0.5922562186493795	0.5050033868297097	0.0246543338370943	3.5390464165935485	0.0476190476190476
M_RIGI_typeI_IFN_CCDEP	OPC	132	0.5693960075808244	0.502898913506427	0.027482441967604	2.4196210130374665	0.0476190476190476
M_RIGI_typeI_IFN_CCDEP	NPC	132	0.5684329114488991	0.5044515401753285	0.0267258152571312	2.3939913771759884	0.0476190476190476
M_RIGI_typeI_IFN_CCDEP	Cycling	132	0.5705243968247555	0.5034582001098908	0.0258581336904098	2.5936209286340706	0.0476190476190476
