analysis	cohort_scope	module_a	module_b	expected_sign	rho_TCGA	rho_CGGA	same_direction	note
robust_3_partial_global_mean	CGGA	M_TNF_NFkB	M_p53_apoptosis	1.0	0.909913719393704	0.9247197823552272	True	p_partial=1.34e-105 (uncorrected); sign_preserved_after_partial=True
robust_3_partial_global_mean	CGGA	M_TNF_NFkB	M_RIGI_typeI_IFN		0.7894589972794404	0.8010260396424407		p_partial=5.74e-57 (uncorrected); sign_preserved_after_partial=True
robust_3_partial_global_mean	CGGA	M_p53_apoptosis	M_RIGI_typeI_IFN		0.8199113874854255	0.8143575592693354		p_partial=2.68e-60 (uncorrected); sign_preserved_after_partial=True
robust_4_gene_perturbation	tcga	run_baseline	dir_match=12/21					tcga
robust_4_gene_perturbation	tcga	run_drop_top10expr	dir_match=12/21					tcga
robust_4_gene_perturbation	tcga	run_dropout80_1	dir_match=13/21					tcga
robust_4_gene_perturbation	tcga	run_dropout80_2	dir_match=13/21					tcga
robust_4_gene_perturbation	tcga	run_dropout80_3	dir_match=13/21					tcga
robust_4_gene_perturbation	tcga	run_dropout80_4	dir_match=12/21					tcga
robust_4_gene_perturbation	tcga	run_dropout80_5	dir_match=13/21					tcga
robust_4_gene_perturbation	cgga	run_baseline	dir_match=9/21					cgga
robust_4_gene_perturbation	cgga	run_drop_top10expr	dir_match=9/21					cgga
robust_4_gene_perturbation	cgga	run_dropout80_1	dir_match=9/21					cgga
robust_4_gene_perturbation	cgga	run_dropout80_2	dir_match=9/21					cgga
robust_4_gene_perturbation	cgga	run_dropout80_3	dir_match=9/21					cgga
robust_4_gene_perturbation	cgga	run_dropout80_4	dir_match=9/21					cgga
robust_4_gene_perturbation	cgga	run_dropout80_5	dir_match=9/21					cgga
robust_5_coverage	tcga	min_per_sample_gene_coverage	min=0.970 (C5_UP)					coverage>=0.80 rule; no imputation; sets unchanged
robust_5_coverage	cgga	min_per_sample_gene_coverage	min=0.865 (C5_DOWN)					coverage>=0.80 rule; no imputation; sets unchanged
