probe	symbol	entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B	rank_stat
TC1900010465.hg.1	HPN-AS1	100128675	-0.4028088938301	4.20517727276653	-1.83204458960966	0.0979305391861204	0.370121376085705	-5.20023271968789	-1.00908185434807
TC1600008330.hg.1	HPR	3250	-0.348361812979687	1.68191638110092	-1.68058085083487	0.124863654425423	0.417659599608465	-5.4188331988993	-0.903563958580041
TC0X00011326.hg.1	HPRT1	3251	1.01213598827886	2.77674448911614	2.66047075622844	0.0245711515880878	0.169301834903325	-3.88670857983838	1.60957448875265
TC1000011579.hg.1	HPS1	3257	0.195468532201921	3.28409785984362	0.810864090659317	0.436982090251503	0.740394220218615	-6.41933034104792	0.359536362261467
TC0300009131.hg.1	HPS3	84343	0.834966617443254	3.65060423425208	3.18117603037512	0.0102346167868442	0.101373040370677	-3.01862413223435	1.98992841391742
TC2200009328.hg.1	HPS4	89781	-0.571399688714139	2.93463672813393	-2.61646608148243	0.0264687719383074	0.176133378351835	-3.95949530297594	-1.57726620802955
TC1100010261.hg.1	HPS5	11234	0.280456562400596	1.89307357150443	2.06169569138101	0.0672022387883983	0.301960282666958	-4.85255368783183	1.17261625853469
TC1000008702.hg.1	HPS6	79803	-0.212985729717904	2.69895837648333	-0.892442164656365	0.393862705527659	0.710157472332522	-6.34902299868045	-0.404655140161531
TC0400011203.hg.1	HPSE	10855	-0.00689633015614599	1.7501203276654	-0.0343135851547741	0.973326345692116	0.99137434556572	-6.76495433532722	-0.0117415211187602
TC1000011580.hg.1	HPSE2	60495	0.0988428979325258	1.15029766337468	0.714114916450305	0.492064809496716	0.77825905797897	-6.49504266553422	0.307977692856327
TC1100009970.hg.1	HPX	3263	-0.334678618598312	2.14446367576008	-1.4128245318525	0.18913376223686	0.511490679960168	-5.77876312049121	-0.723230938397877
TC0800009828.hg.1	HR	55806	0.140237614371302	2.12732213411351	0.649805963353887	0.530978163436767	0.804052647489961	-6.54058340303137	0.274923338982408
TC1100009678.hg.1	HRAS	3265	0.264805935069798	4.39504891137974	1.04014333328778	0.323628273679097	0.651065262741276	-6.207520888137	0.489953543405811
TC1900011127.hg.1	HRC	3270	-0.999222049733807	4.53954431788103	-2.73204240226508	0.0217716138302912	0.158444434805082	-3.7679866877597	-1.66210937749941
TC0900007105.hg.1	HRCT1	646962	0.20797188172082	4.67482821502168	1.06211175378262	0.314038152942207	0.643000947410557	-6.18498604527121	0.503017585666608
TC0300009774.hg.1	HRG	3273	0.184881174977932	1.91202312350433	1.01119075858933	0.336603398305996	0.663274275882147	-6.23664560923797	0.47288150375505
TC0300006602.hg.1	HRH1	3269	0.1755826050419	1.83352047820369	0.799603426082488	0.443174847754122	0.745213933807915	-6.42857709370086	0.353424895823774
TC0500009562.hg.1	HRH2	3274	-0.102284060199009	1.55035848894661	-0.634021567633596	0.540801045146243	0.809682798264384	-6.55116196781364	-0.266962477752797
TC2000009736.hg.1	HRH3	11255	-0.0882083241892553	1.93812086818303	-0.597339593910701	0.564030942426694	0.821526613469726	-6.57481921463426	-0.248697070207156
TC1800006915.hg.1	HRH4	59340	-0.0689812810341262	1.171611929645	-0.407209364486142	0.692738408282122	0.887782290762362	-6.67606411986847	-0.159430732613546
TC1200012852.hg.1	HRK	8739	-0.22859958618398	3.11802006972192	-1.1631928173967	0.272702842108787	0.604500465527413	-6.07661178285664	-0.564310335818065
TC0100015829.hg.1	HRNR	388697	-0.016306698835006	1.38427686789035	-0.105535312603175	0.918112125339461	0.973371530424048	-6.75953328127679	-0.0371042769222861
TC1700007982.hg.1	HROB	78995	1.43874642056522	3.2884532965712	3.78590073453924	0.0038003251500382	0.0546133008828685	-2.01961753120876	2.42017924421837
TC0200016640.hg.1	HS1BP3	64342	0.204106519181318	2.32647564997972	0.976546969432518	0.352634692409416	0.678267685463626	-6.27062145993048	0.452674963787087
TC0100018242.hg.1	HS2ST1	9653	0.165839728867275	2.19087824868094	0.799910315281435	0.443005305894919	0.745093114361823	-6.42832658661177	0.3535910721808
TC0400010058.hg.1	HS3ST1	9957	-0.570217620965974	2.41192002828684	-3.26186949871236	0.0089487054224607	0.0933639108715594	-2.88407221190134	-2.04823978798549
TC1600007210.hg.1	HS3ST2	9956	0.1107904321841	1.96741986894161	0.662651996981116	0.523062018237632	0.798738175448637	-6.53179853327505	0.281446814800877
TC1700009809.hg.1	HS3ST3A1	9955	1.05837971128957	4.36761321796307	4.54766957952049	0.00116285203738125	0.0263203900416783	-0.813600223187204	2.93447554188109
