ensg_versioned	py_baseMean	py_log2FC	py_lfcSE	py_stat	py_pvalue	py_padj	r_baseMean	r_log2FC	r_lfcSE	r_stat	r_pvalue	r_padj	log2FC_diff_py_minus_r	py_sig005	r_sig005	ensg_unversioned	hgnc_symbol	gene_biotype
ENSG00000070444.15	354.7004376784428	0.4155026646512709	0.4186112772098332	0.9925739875445254	0.3209176066039143	0.6126953800198525	354.700437678443	0.415508498734325	0.419025809648636	0.991605980268231	0.321389770887154	0.62635542706185	-5.834083054101491e-06	False	False	ENSG00000070444	MNT	protein_coding
ENSG00000070476.15	144.67207616505445	-0.1667291733962601	0.4104043095557951	-0.4062559030550166	0.6845545824760283	0.8692977346460279	144.672076165054	-0.166720698164227	0.410261544796475	-0.40637661579258	0.684465898798919	0.875036871938569	-8.47523203309497e-06	False	False	ENSG00000070476	ZXDC	protein_coding
ENSG00000070495.15	347.6926080310614	0.9828703761895174	0.4693961301834345	2.093903875614448	0.0362685439671534	0.1655306367751626	347.692608031061	0.982912799982414	0.470111258699555	2.09080889213629	0.0365451986853269	0.17572377364718	-4.242379289653986e-05	False	False	ENSG00000070495	JMJD6	protein_coding
ENSG00000070501.12	51.88406584030976	1.1098438821536598	0.9903670116115144	1.1206389844788287	0.262441563761274	0.5526466002195841	51.8840658403098	1.10984538054502	0.991061529759349	1.11985517267986	0.26277548355799	0.567512012028893	-1.4983913600996601e-06	False	False	ENSG00000070501	POLB	protein_coding
ENSG00000070526.15	0.2929923467017081	-0.8948047374004608	6.228432746472254	-0.1436645098090322	0.8857653974806715		0.292992346701708	-0.894774614219634	6.09962453181715	-0.146693392282143	0.883374034376163		-3.0123180826846507e-05	False	False	ENSG00000070526	ST6GALNAC1	protein_coding
ENSG00000070540.13	372.2886827570864	-0.0676341100222284	0.325849806868824	-0.2075622222156345	0.8355708042062995	0.9414658538057408	372.288682757086	-0.0676510368321669	0.326123388502231	-0.207440003438159	0.835666243749126	0.94364969667484	1.6926809938505594e-05	False	False	ENSG00000070540	WIPI1	protein_coding
ENSG00000070601.10	0.2562278134472192	0.9845180952964184	6.35529300003492	0.1549130929590514	0.8768898315679164		0.256227813447219	0.984520616676092	6.0666193180499	0.162284884721028	0.871081517142692		-2.521379673603441e-06	False	False	ENSG00000070601	FRMPD1	protein_coding
ENSG00000070610.14	190.43158258835385	0.2091898574611764	0.5133248808301567	0.4075194195201905	0.6836265341883787	0.8687410519674261	190.431582588354	0.209165211091364	0.513792580480649	0.407100489648355	0.683934183789699	0.8749497502141	2.4646369812419966e-05	False	False	ENSG00000070610	GBA2	protein_coding
ENSG00000070614.15	1454.6114380854765	0.4804323296396915	0.1681117985910558	2.857814464339759	0.0042656972944088	0.0353527443111946	1454.61143808548	0.480433023082281	0.168440198341073	2.85224683783295	0.0043411376231342	0.0377629642103325	-6.934425894611351e-07	True	True	ENSG00000070614	NDST1	protein_coding
ENSG00000070669.17	842.9281787406944	-3.0838456225544006	0.1887159626677274	-16.341201766721415	5.025257023628978e-60	3.5159210765820146e-56	842.928178740694	-3.08384600962317	0.188866034656486	-16.3282191805009	6.217278838277921e-60	4.75932695070174e-56	3.870687694806918e-07	True	True	ENSG00000070669	ASNS	protein_coding
