gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	contrast
ENSG00000005812.11	709.0282134116611	1.276511302050962	0.2150713206527471	5.935292991072526	2.9332120697404096e-09	4.0458704732105495e-08	C4
ENSG00000005844.19	0.19031617015967828	-1.0014792766547083	4.353744228771411	-0.23002712700404016	0.8180706905487425		C4
ENSG00000005882.12	194.15599142388305	-0.4738309090377749	0.3457111087548504	-1.3705978692567165	0.17050034756377375	0.31475632344676	C4
ENSG00000005884.18	8366.222484859518	-1.8016312853623706	0.08908557400405458	-20.22360304127773	6.068500134832522e-91	1.2199960958563932e-87	C4
ENSG00000005889.16	528.399301440937	0.5344609639374993	0.20005696025373954	2.6715439605781426	0.00755031820169907	0.026170639577139256	C4
ENSG00000005893.17	1080.888124201671	0.70637746895511	0.13652770937059477	5.173876220523838	2.2928675047009069e-07	2.34581349097358e-06	C4
ENSG00000005961.19	0.2379150877349538	-2.6515256897896573	4.243031624562372	-0.6249130160709411	0.5320281491100067		C4
ENSG00000005981.13	0.0						C4
ENSG00000006007.12	482.21365404299985	1.2086066711518915	0.14441760479338725	8.368831991646717	5.819214934387898e-17	2.2606384973372117e-15	C4
ENSG00000006015.18	185.6932814187801	-1.3939800525751411	0.4917746637493691	-2.8345910339243856	0.004588438294240939	0.017082373399601163	C4
ENSG00000006016.12	0.06866236698734507	0.6404823034730933	4.270698858503291	0.149971310245358	0.8807872503386466		C4
ENSG00000006025.12	64.79374099723059	-1.4172969350867985	0.5324316567056132	-2.661932132015276	0.007769354186460451	0.026802772067962985	C4
ENSG00000006042.12	29.628435238547866	1.2442435940518506	0.8368609193975604	1.4867985410856046	0.13706802696225398	0.26782469659019936	C4
ENSG00000006047.13	0.1848480229113163	-0.34128330512092125	4.157984647105205	-0.08207902002681113	0.9345838764157791		C4
ENSG00000006059.4	0.0						C4
ENSG00000006062.18	169.7989605668606	-1.0174286975847735	0.3916160403990807	-2.5980261088078813	0.00937613645359003	0.03135060344762754	C4
ENSG00000006071.16	0.0						C4
ENSG00000006116.4	0.0						C4
ENSG00000006118.15	105.50983863999184	-0.2902857841787782	0.43648243039638085	-0.6650572026809012	0.5060139066272752	0.6699039185946772	C4
ENSG00000006125.18	2424.836752836708	-0.02990048580927102	0.11446348987432056	-0.26122290908744306	0.7939206123874606	0.8813242137650145	C4
ENSG00000006128.12	0.0						C4
ENSG00000006194.11	109.34802376987973	0.3434117125079343	0.46599696602540885	0.7369398033574527	0.46115895722344513	0.6299112452333677	C4
ENSG00000006210.7	0.0						C4
ENSG00000006282.21	278.31459187211277	-1.362266518876172	0.2767124014605649	-4.9230410768933766	8.520955774913663e-07	7.817600212660379e-06	C4
ENSG00000006283.18	13.06643403266114	0.6989283097794022	1.3989595477430181	0.49960580411849914	0.6173526702040257	0.7585669642364845	C4
ENSG00000006327.14	218.90732193982717	0.1537462131398872	0.29662888429196393	0.5183116725361069	0.60424083019361	0.7482647458652649	C4
ENSG00000006377.11	0.06982832496906606	-0.5205855313794691	4.415686005935076	-0.11789459909055028	0.9061511727056248		C4
ENSG00000006432.16	272.1156265979829	0.4104525454452037	0.16924942352011266	2.425134082636493	0.015302733734983717	0.047248333260635225	C4
