symbol	source
DIAPH3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DKC1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DLGAP5	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DMD	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DNMT1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DONSON	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DR1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DSCC1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DTYMK	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
DUT	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
E2F1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
E2F2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
E2F3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
E2F4	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
E2F8	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EED	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EFNA5	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EGF	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EIF2S1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
ESPL1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EWSR1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EXO1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EXOSC8	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
EZH2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
FANCC	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
FBXO5	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
FOXN3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
G3BP1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
GINS1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
GINS2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
GINS3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
GINS4	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
GSPT1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
H2AX	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
H2AZ1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
H2AZ2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
H2BC12	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HELLS	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HIF1A	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HIRA	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HMGA1	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HMGB2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HMGB3	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HMGN2	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HMMR	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HNRNPD	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HNRNPU	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
HOXC10	HALLMARK_E2F_TARGETS ∪ HALLMARK_G2M_CHECKPOINT (b3_gslib_HALLMARK.gmt)
