gene	tier	baseMean	log2FC	lfcSE	stat	pvalue	padj
ENSG00000187837.4	top30_by_padj	3769.2303406469314	-1.8773169573827724	0.1556079389001205	-12.064403465865317	1.6283800127698022e-33	1.5190614345791894e-30
ENSG00000120254.16	top30_by_padj	903.0172800228654	-2.742870280584076	0.227574131417602	-12.052645278697632	1.8782381265683598e-33	1.6426366315669414e-30
ENSG00000115963.14	top30_by_padj	1349.3990918566035	2.0777813935034017	0.1767786458036704	11.753576819515722	6.769165735596449e-32	5.571819772835358e-29
ENSG00000184357.5	top30_by_padj	3675.7446244742887	-2.578674152901584	0.2251516558476114	-11.453054356601749	2.2700332927774372e-30	1.7646986592130376e-27
ENSG00000165029.17	top30_by_padj	3457.661086785719	-1.5968109868754723	0.1402139237008457	-11.388391000899157	4.777297600390539e-30	3.518353964329727e-27
ENSG00000113161.17	top30_by_padj	1395.885111176763	2.4278329742274507	0.2160316380525002	11.238321368638776	2.643612950756848e-29	1.8496038009970282e-26
ENSG00000112972.15	top30_by_padj	1432.5756415550727	2.882879146933126	0.2583931286171302	11.156949731448876	6.622492478773563e-29	4.412787488356119e-26
ENSG00000274641.2	top30_by_padj	749.1912634380391	-3.009915523097039	0.2728953559031832	-11.029559345688847	2.7521018235138772e-28	1.7504618552922586e-25
ENSG00000124635.9	top30_by_padj	653.3400232005229	-2.787290114446591	0.2570277125404602	-10.84431747416274	2.122138633156772e-27	1.237295245573446e-24
ENSG00000277075.3	top30_by_padj	2050.3202214195394	-2.5965889069840067	0.2394030776901143	-10.84609660008238	2.0812486187419708e-27	1.237295245573446e-24
ENSG00000154646.9	top30_by_padj	1389.7534966354106	-2.22798329994879	0.2071929573861897	-10.753180648877084	5.725264736718774e-27	3.2045451784362324e-24
ENSG00000265972.6	top30_by_padj	2572.4339964053515	-2.34851883080748	0.2193607476546537	-10.706194503425126	9.519492797901107e-27	5.123317796962701e-24
ENSG00000274997.2	top30_by_padj	803.3838329899228	-2.994364565104215	0.2812711575651165	-10.645828712142288	1.823543508562889e-26	9.450683079748334e-24
ENSG00000086061.16	top30_by_padj	2991.3652563693586	1.6618509029293589	0.1586247918931028	10.476615181624815	1.1063268825418979e-25	5.528868595503135e-23
ENSG00000124575.7	top30_by_padj	913.5530336796196	-3.843182295554393	0.3683674277592399	-10.433013360959391	1.7524097132326743e-25	8.455679005953384e-23
ENSG00000185130.6	top30_by_padj	355.69301204834073	-3.650223855304615	0.3557756748429906	-10.259902836008996	1.0681416160284871e-24	4.9821685443622065e-22
ENSG00000111110.12	top30_pos	6.397313581388663	11.616836893422231	3.488791081753352	3.3297599716357884	0.000869208789614	0.0105948071368203
ENSG00000269019.2	top30_pos	7.808144567061104	11.41925508283653	2.9194264191226558	3.911472133032296	9.173524244866182e-05	0.0017207121281288
ENSG00000214265.11	top30_pos	7.035581333628526	10.838571549581342	3.693416090898872	2.9345655303471494	0.0033401501534803	0.0294139213956264
ENSG00000271225.1	top30_pos	7.851167474743664	10.834222110697356	3.672439783244504	2.950142888694449	0.0031762699539409	0.028363462326417
ENSG00000165606.10	top30_pos	10.56566334424043	10.534331621334646	3.129484604125607	3.3661554389650017	0.0007622374308998	0.0096263432947485
ENSG00000197976.12	top30_pos	69.41397431492484	10.37358821171516	3.15280286314516	3.2902749274233782	0.0010008953784	0.0118791594825714
ENSG00000241764.5	top30_pos	15.869023202348638	10.327134933810202	2.178320014957419	4.740871342547928	2.128010379458459e-06	6.924941683665632e-05
ENSG00000268193.5	top30_pos	9.016982825883362	10.269505654048452	3.3657483327379	3.051180492064488	0.0022794350497335	0.0221040434171321
ENSG00000255224.2	top30_pos	10.954620418191064	9.984304055378889	2.278942867540572	4.3811120487429855	1.1807512797242956e-05	0.0003059676417996
ENSG00000277462.2	top30_pos	13.68206488946134	8.779436751668097	2.91066028639436	3.016304167376332	0.0025587644126352	0.0239336834398431
ENSG00000170122.6	top30_pos	7.208974869927408	8.661858783111894	3.1798918820197244	2.7239475757302385	0.0064506744906171	0.048243873942921
ENSG00000133665.13	top30_pos	7.726308167215275	8.657024202182825	3.1697807356783625	2.731111368285271	0.006312113760694	0.0473848754578281
ENSG00000258644.6	top30_pos	19.88470862461653	8.481033633524305	2.8899633855239784	2.9346508941969214	0.0033392314862516	0.0294139213956264
ENSG00000238132.2	top30_pos	6.731145820062596	8.262614493470327	2.8860304273815176	2.862968600427044	0.0041969215223528	0.0349360635706619
ENSG00000243071.1	top30_pos	8.71625062592889	8.040949113454639	2.8837315022910057	2.788383421641868	0.0052971808613743	0.0419487559667293
ENSG00000261915.6	top30_pos	77.58603030859646	7.669634734319111	2.203369548667557	3.4808662663769527	0.0004997949681222	0.0069175380701628
ENSG00000109794.14	top30_pos	9.920304913957525	7.547066723291699	2.557418438675812	2.951048842519272	0.0031669683275223	0.0282984596468843
ENSG00000248593.4	top30_pos	12.546138631880876	6.993827690092027	2.5354946628413253	2.758368137227552	0.0058090736563158	0.0447119734173967
ENSG00000215769.8	top30_pos	9.595203254176004	6.864361763889641	2.4052453504148987	2.853913328511603	0.0043184311101839	0.0356927386443021
ENSG00000258588.3	top30_pos	25.72455656043199	6.60195706129591	2.3544990310533485	2.803975272116526	0.005047677622795	0.0405233235661339
ENSG00000171368.12	top30_pos	12.04256772309568	6.44791904085467	2.191282894448945	2.942531544963375	0.0032554061761951	0.0289592489659875
ENSG00000258655.2	top30_pos	15.436647888482616	6.382373598028726	2.0034650515979875	3.185667547800781	0.0014442045103628	0.0156052152227857
ENSG00000113263.14	top30_pos	32.45025254791547	6.354693737416885	1.286500672615074	4.939518394887178	7.831575588402085e-07	2.868775843154722e-05
ENSG00000136689.20	top30_pos	20.976387249095023	6.231680705353483	2.2662697438499784	2.749752416835869	0.0059640308292486	0.0455041894185801
ENSG00000125740.14	top30_pos	66.3450939856192	5.847471664834044	2.1449813976039773	2.726117658347006	0.0064084149963765	0.0479665558535727
ENSG00000250510.8	top30_pos	13.530622822539147	5.675296671131864	2.04752942254187	2.77177783559582	0.0055751072337765	0.0434609891488779
ENSG00000105855.10	top30_pos	83.66110409007459	5.671224247137142	1.2172300363191548	4.659122826353062	3.1755968568401484e-06	9.766181718189934e-05
ENSG00000171860.5	top30_pos	18.75947623426698	5.663608812256757	1.835921000653053	3.084886991456692	0.0020362950807224	0.0203382420160947
ENSG00000241860.7	top30_pos	20.17607388003857	5.620212438168927	1.9840496358946331	2.832697497325817	0.0046157043175914	0.0376603793096545
ENSG00000188295.15	top30_pos	18.033592497560303	5.394931472496824	1.9353719813821717	2.787542407555142	0.0053109502601538	0.042034008478695
ENSG00000260398.1	top30_neg	14.55689232605704	-13.240223053225304	2.628175845963483	-5.037799534441527	4.709142637418522e-07	1.8561981105745745e-05
ENSG00000203811.2	top30_neg	269.93410056208234	-12.279094042495084	3.5379967875428733	-3.4706345934878238	0.0005192300509992	0.0071126496057449
ENSG00000176998.4	top30_neg	7.557152262704946	-11.15279767892831	2.969494639453076	-3.755789800308393	0.0001727956802566	0.0029202052582498
ENSG00000244115.1	top30_neg	39.505585672495	-10.825498459906443	3.078851594390525	-3.516083230393379	0.0004379636658269	0.0061468661744405
ENSG00000253741.4	top30_neg	25.78665286936584	-10.632707070641676	2.4900884660907314	-4.270011774856457	1.9546264790654527e-05	0.0004730192426183
ENSG00000275131.4	top30_neg	34.475627366836385	-10.10542508926999	3.5856418774123755	-2.8183029523747924	0.0048278233875827	0.0390792389877357
ENSG00000153930.13	top30_neg	27.09750942506318	-9.99303625879642	2.0903539263732487	-4.78054751050425	1.7481843733892548e-06	5.810533001623716e-05
ENSG00000223770.5	top30_neg	10.937396266706392	-9.884062591747291	2.755552638722654	-3.586961995517924	0.0003345530613192	0.0048960328060702
ENSG00000235706.9	top30_neg	10.534216278466234	-9.80046643531224	3.508651760421739	-2.7932285973385484	0.0052184799304983	0.0415843904712207
ENSG00000288573.3	top30_neg	12.55970521619606	-9.498908227004211	3.4465887236639112	-2.756031829903499	0.0058507303125524	0.0449831149799701
ENSG00000090339.9	top30_neg	22.909948434752916	-9.388899582424331	1.9373530897787556	-4.846251120644476	1.258162454964334e-06	4.390390831001478e-05
ENSG00000100101.15	top30_neg	244.96979088432403	-9.244883130399314	1.0623590890060937	-8.702220582541921	3.254522096052964e-18	8.280095943648931e-16
ENSG00000251602.7	top30_neg	8.50103189972435	-9.239872125923686	2.380791255500984	-3.8810089312006326	0.0001040240203439	0.001912757052133
ENSG00000282278.1	top30_neg	24.44632218973578	-9.18744519664008	2.7446114323289184	-3.3474484178054102	0.0008155916450637	0.0100906930940552
ENSG00000186364.12	top30_neg	15.561630059953604	-9.134479502660096	2.3149597393090566	-3.945848105931404	7.951801319180623e-05	0.0015200758997171
ENSG00000273784.5	top30_neg	26.270590433363235	-9.01604034999492	2.5763083750265783	-3.499596724286512	0.000465962518498	0.0065124221743486
ENSG00000176907.5	top30_neg	11.497154345408982	-8.728557909931299	2.7094897419254758	-3.221476639999539	0.0012753185830133	0.0141631213746866
ENSG00000260578.1	top30_neg	15.417792161049531	-8.704632684697062	2.6906503856339143	-3.235140741871694	0.0012158278345033	0.0136432068069005
ENSG00000163815.6	top30_neg	22.92097117912462	-8.64960719041939	1.840968063359456	-4.698401543498433	2.622055361913299e-06	8.282262004346002e-05
ENSG00000270866.1	top30_neg	12.40304292371994	-8.549824880524609	2.491976245486146	-3.43094156535857	0.0006014901540859	0.0079627736292571
ENSG00000254681.7	top30_neg	28.709999621767007	-8.531824114805222	2.366246957553244	-3.605635535027727	0.0003113899167969	0.0046288841101021
ENSG00000288741.1	top30_neg	6.8042488370531045	-8.496108633783772	2.3130525313280974	-3.673115296220928	0.0002396113038448	0.0037923267873623
ENSG00000247095.5	top30_neg	24.78760769064433	-8.253838547679003	2.047347172149509	-4.031479692334398	5.542678645460782e-05	0.0011211683923331
ENSG00000275160.1	top30_neg	14.39332747440814	-8.252908438732097	2.453356694264894	-3.3639252123527594	0.0007684236312989	0.0096957185507365
ENSG00000122367.21	top30_neg	18.37660532736242	-8.132755083989599	2.1990457993233643	-3.6983109158035767	0.0002170389389404	0.0034951689320784
ENSG00000272909.1	top30_neg	10.606338047341453	-8.001349021155628	2.237678488064616	-3.575736668084096	0.0003492430629468	0.0050747229281565
ENSG00000280120.1	top30_neg	11.733695365849185	-7.954757235452577	2.60846996037748	-3.0495874425563327	0.0022915591319383	0.0221601844735403
ENSG00000149506.12	top30_neg	13.623360927467228	-7.899409578009911	2.070339960745344	-3.815513262452821	0.0001359001562017	0.0024132625453436
ENSG00000166897.16	top30_neg	25.95731655394044	-7.833692731178128	1.9791829564510757	-3.9580437501467407	7.556611878002594e-05	0.001456469283869
ENSG00000143554.14	top30_neg	25.6944401027402	-7.7701882338536254	1.852922137287611	-4.193478008324716	2.7470972017504395e-05	0.0006231379169754
