contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	GOBP	prerank	protein lipidation (GO:0006497)	0.5728833517356333	1.8812744390039753	0.0	0.10389663719070466	0.318	33/58	22.82%	ZDHHC2;PORCN;ZDHHC20;UGCG;ZDHHC21;PIGU;PIGO;ZDHHC3;ATG12;ZDHHC17;ZDHHC16;DPM3;PIGP;SELENOK;PGAP4;DPM2;ZDHHC9;ZDHHC13;ZDHHC23;WIPI2;PIGL;ATG5;PIGH;DPM1;PIGV;ZDHHC1;PIGW;PGAP2;PIGC;PIK3C3;PIGM;ZDHHC6;PGAP3
C1	GOBP	prerank	Golgi to endosome transport (GO:0006895)	0.7420695759671252	1.8794420798761975	0.0	0.08525850508576793	0.326	8/16	10.61%	MON2;VPS13C;SYS1;VPS13A;RAB14;GBF1;AP1AR;KLHL20
C1	GOBP	prerank	regulation of mitotic spindle organization (GO:0060236)	-0.6439585049242931	-1.8791843953716534	0.0	0.027043641266525288	0.319	15/34	7.07%	HSPA1B;DCTN1;NUMA1;CHMP4B;CHMP2A;HNRNPU;TACC3;CHMP3;HSPA1A;GNAI1;TPR;TPX2;NUP62;FSD1;PLK1
C1	GOBP	prerank	transition metal ion transport (GO:0000041)	0.6616765366319961	1.8767817029089175	0.0	0.07380635428847872	0.334	13/27	20.10%	IREB2;SLC11A2;SLC30A1;SLC30A5;SLC39A8;SLC30A9;ATP2C1;SLC39A2;ATP7A;FTH1;TFRC;LTF;SLC31A1
C1	GOBP	prerank	regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	-0.6861778535798957	-1.8745047184828363	0.0	0.027508102695479462	0.338	12/27	8.99%	SUPT16H;LEO1;NELFB;HNRNPU;NELFE;RNF168;BRD4;SUPT6H;ZMYND11;LDB1;WDR43;EAF2
C1	GOBP	prerank	ribosomal large subunit biogenesis (GO:0042273)	-0.5890888699256336	-1.8683929440905616	0.0	0.02925837315129968	0.374	20/55	6.43%	NPM1;EBNA1BP2;ZNF622;PES1;SURF6;NOC2L;RPL3;BOP1;NOP2;PPAN;LAS1L;RPL26L1;MAK16;RPL14;NOP16;RRS1;RPL7A;MRTO4;RPL11;TRAF7
C1	GOBP	prerank	ribosome biogenesis (GO:0042254)	-0.486328406844408	-1.8660039998110625	0.0	0.028889928955999348	0.385	71/191	11.79%	RRP1;NPM1;RPL19;EBNA1BP2;ZNF622;RPL13A;PES1;NOP14;DKC1;DDX27;DDX54;NOLC1;SURF6;RPL35;NOC2L;RPLP2;RRP12;PELP1;RPL3;DDX49;BMS1;RPL22;DHX37;BOP1;RPS15;PDCD11;RRP7A;NOM1;LTV1;LAS1L;UTP18;RPL8;UTP14A;LYAR;RPL26L1;MPHOSPH10;UTP3;RPL14;RPL13;NOP16;FBL;RRS1;NOP58;RPL7A;MRTO4;DDX10;RPL11;ESF1;RPS16;WDR43;IMP4;NOP56;METTL17;WDR46;SBDS;RPS9;TSC1;NOL6;RRP9;RRP1B;PWP2;RPL28;RPL36A;RPL23A;RPL4;EXOSC2;TBL3;GLUL;PIH1D2;EXOSC4;RRP36
C1	GOBP	prerank	regulation of cellular component biogenesis (GO:0044087)	-0.6444150621684486	-1.8629555860705043	0.0	0.02878789143050979	0.399	16/32	12.44%	HSP90AA1;MSN;EZR;HJURP;APOE;TRAF2;PINK1;HCFC1;RAPGEF1;RDX;NOTCH1;NCLN;SPTY2D1;ROCK1;PARP10;BAG5
C1	GOBP	prerank	long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	0.7352145154663146	1.856252409625038	0.0	0.08634300661817007	0.42	10/17	15.84%	TECR;ACSL3;ACSL1;ACSBG1;ELOVL7;ACSL4;HACD2;HACD1;ELOVL1;ELOVL5
C1	GOBP	prerank	regulation of histone acetylation (GO:0035065)	-0.6511120333041266	-1.8551832208360786	0.0	0.03083346412959625	0.444	16/31	12.55%	SET;IWS1;RUVBL2;NOC2L;RPS6KA4;HDAC5;TAF7;BRD7;TADA2B;ARRB1;SNCA;CAMK1;FLCN;PARK7;CTBP1;PPARGC1A
C1	GOBP	prerank	ncRNA processing (GO:0034470)	-0.479210815275723	-1.8546694447021206	0.0	0.029719538402370953	0.445	71/200	11.97%	RRP1;RPL19;EBNA1BP2;RPL13A;PES1;NOP14;SRRT;DKC1;DDX27;DDX54;NOLC1;HNRNPA2B1;RPL35;RPLP2;SARS1;RRP12;PELP1;RPL3;DDX49;BMS1;RPL22;DHX37;BOP1;RPS15;AARS1;PDCD11;RRP7A;INTS1;LAS1L;UTP18;RPL8;UTP14A;LYAR;MPHOSPH10;UTP3;POP1;RPL14;RPL13;FBL;NOP58;RPL7A;MRTO4;INTS4;DDX10;RPL11;ESF1;RPS16;WDR43;IMP4;NOP56;WDR46;INTS11;SBDS;RPS9;NOL6;ADAR;RRP9;RRP1B;PWP2;RPL28;TUT7;RPL36A;RPL23A;RPL4;EXOSC2;METTL3;TBL3;PIH1D2;EXOSC4;RRP36;INTS5
C1	GOBP	prerank	rRNA processing (GO:0006364)	-0.48773846908981716	-1.8516596840143957	0.0	0.02976053086913284	0.456	65/173	11.79%	SART1;RRP1;RPL19;EBNA1BP2;RPL13A;PES1;NOP14;DKC1;DDX27;DDX54;NOLC1;RPL35;RPLP2;RRP12;PELP1;RPL3;DDX49;BMS1;RPL22;DHX37;BOP1;RPS15;NOP2;PDCD11;RRP7A;LAS1L;UTP18;RPL8;UTP14A;LYAR;MPHOSPH10;UTP3;MAK16;RPL14;RPL13;FBL;NOP58;RPL7A;MRTO4;DDX10;RPL11;ESF1;RPS16;WDR43;IMP4;NOP56;WDR46;SBDS;RPS9;NOL6;TSR3;NAT10;RRP9;NHP2;RRP1B;PWP2;RPL28;RPL36A;RPL23A;RPL4;EXOSC2;TBL3;PIH1D2;EXOSC4;RRP36
C1	GOBP	prerank	positive regulation of histone modification (GO:0031058)	-0.6425487517433499	-1.8413031606018575	0.0018796992481203006	0.033345795077461306	0.509	14/32	12.84%	SART3;PAF1;SAP30BP;RUVBL2;RPS6KA4;AKAP8;BRD7;AKAP8L;TADA2B;CDK9;ARRB1;CTBP1;PPARGC1A;KDM1A
C1	GOBP	prerank	regulation of response to cytokine stimulus (GO:0060759)	0.7044363826352232	1.8405872313108842	0.0	0.09598881351693907	0.505	14/20	16.53%	TLE5;SH2B3;LIFR;CD24;MAP2K5;PARP9;ELF1;RUNX1;WNT5A;MAPK7;MAVS;KLF4;TAF9;APOA1
C1	GOBP	prerank	regulation of mRNA processing (GO:0050684)	-0.6161462559427455	-1.8382942754690696	0.0	0.03397060902953001	0.529	14/36	6.87%	SAFB;CDK11B;IWS1;SLTM;SAFB2;PABPN1;RBM39;C9orf78;HNRNPK;YTHDC1;SUPT6H;SF1;JMJD6;SRPK2
C1	GOBP	prerank	membrane lipid biosynthetic process (GO:0046467)	0.5707638565007971	1.8233288417296754	0.0	0.10922259022910404	0.595	28/51	23.18%	VAPA;SAMD8;PRKD3;HACD3;CERS6;ELOVL7;DEGS1;CERS2;KDSR;CERT1;HACD2;HACD1;ELOVL1;SPTLC3;SGPP1;ACER3;B3GNT5;SGMS2;ELOVL5;SGPL1;SPTLC2;ELOVL4;SCCPDH;PLPP3;SPNS2;PRKD1;ELOVL3;ALDH3A2
C1	GOBP	prerank	synaptic vesicle membrane organization (GO:0048499)	-0.7399439504625103	-1.8186490547190173	0.0	0.0446525084370598	0.641	6/16	6.77%	AP3D1;STX1A;STX3;STX4;SNAP29;PRRT2
C1	GOBP	prerank	regulation of viral release from host cell (GO:1902186)	-0.7030576960286348	-1.8133517518081534	0.00202020202020202	0.04629321677420445	0.663	13/21	18.48%	CHMP2A;CHMP3;TRIM28;TRIM8;VPS4A;TRIM11;TRIM35;TRIM21;TRIM5;TRIM32;PML;TRIM26;DDB1
C1	GOBP	prerank	regulation of cellular localization (GO:0060341)	-0.586866667991508	-1.8127002392722251	0.0	0.044955071882207084	0.664	10/45	4.40%	HSP90AA1;HSP90AB1;NUMA1;PPM1F;CSNK1E;MAD1L1;GSN;PARP1;DVL1;PINK1
C1	GOBP	prerank	ceramide biosynthetic process (GO:0046513)	0.5908511957799965	1.8115960037901846	0.0	0.11718178096263082	0.654	14/37	17.18%	SAMD8;SMPD1;ASAH1;CERS6;SMPD4;DEGS1;CERS2;B4GALNT1;ST8SIA4;B4GALT6;SPTLC3;ALOXE3;SGMS2;SPTLC2
C1	GOBP	prerank	phospholipid dephosphorylation (GO:0046839)	0.6135122297418566	1.8057546971635179	0.00211864406779661	0.11537680638422725	0.683	17/34	20.28%	PLPPR2;MTMR4;PTEN;OCRL;MTMR6;PIP4P2;SYNJ1;MTMR1;SACM1L;INPP5F;MTMR12;MTMR2;SGPP1;PLPP5;MTMR10;PLPPR3;PLPP3
C1	GOBP	prerank	positive regulation of axonogenesis (GO:0050772)	-0.5870980552900549	-1.792966369050246	0.0019342359767891683	0.05659605088415914	0.75	12/40	10.66%	ARHGDIA;DBNL;DBN1;PLXNB2;PLXNA3;PLXNA1;MAPT;TWF2;SEMA4D;PLXNA2;GOLGA4;RUFY3
C1	GOBP	prerank	positive regulation of transcription by RNA polymerase I (GO:0045943)	-0.6755650287118812	-1.7882041007467773	0.004	0.05835021440637917	0.763	11/22	8.87%	SMARCA4;UBTF;SMARCB1;DDX11;LYAR;PHF8;EIF2AK3;WDR43;PWP1;MARS1;ATF4
C1	GOBP	prerank	zinc ion homeostasis (GO:0055069)	0.6797855958559275	1.7730987505947593	0.0041841004184100415	0.16748365011616326	0.838	8/19	4.39%	SLC39A10;SLC30A1;SLC30A5;MT2A;SLC39A8;SLC39A6;MT1E;SLC30A9
C1	GOBP	prerank	sphingolipid metabolic process (GO:0006665)	0.4878941244626527	1.7730332669735498	0.0	0.15482489332399726	0.839	49/103	23.24%	HEXB;SERINC1;VAPA;SAMD8;TECR;ARV1;ORMDL3;PRKD3;SMPD1;UGCG;CTSA;ASAH1;UGT8;GLTP;HACD3;B3GALNT1;CERS6;SMPD4;ELOVL7;DEGS1;CERS2;KDSR;CERT1;HACD2;B4GALNT1;HACD1;ESYT2;ELOVL1;SPTLC3;CPTP;ALOXE3;PPT1;SGPP1;ACER3;SGMS2;ELOVL5;SGPL1;SPTLC2;ELOVL4;PLPP3;GM2A;SPNS2;PLA2G15;PRKD1;ELOVL3;CLN8;NSMAF;ALDH3A2;ASAH2
C1	GOBP	prerank	ribonucleoprotein complex biogenesis (GO:0022613)	-0.5471475845340595	-1.7724868452983369	0.0	0.06903504061491182	0.82	20/60	6.25%	NPM1;EBNA1BP2;ZNF622;PES1;NOP14;SURF6;NOC2L;DHX37;BOP1;RPS15;NOM1;LTV1;RPL26L1;RPL14;NOP16;RRS1;MRTO4;RPL11;RPS16;METTL17
