contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	REACTOME	prerank	Gene Silencing By RNA R-HSA-211000	0.33700028776726293	1.21215815866814	0.09567198177676538	0.45646948341189164	1.0	39/99	20.70%	POLR2K;POM121;NUP153;NDC1;POLR2B;H2AZ2;RANBP2;NUP43;NUP133;H2AC20;NUP35;H2BC17;PRKRA;NUP155;NUP160;H2BC13;POM121C;NUP214;H2AZ1;POLR2A;H2AC7;DICER1;H2BC4;H2BC11;H2BC9;H2BC3;NUP58;BCDIN3D;TSNAX;NUP54;NUP107;AGO2;POLR2G;H3C7;POLR2H;H2BC5;SEH1L;TNRC6B;NUP85
C1	REACTOME	prerank	MAP Kinase Activation R-HSA-450294	0.36754108236771665	1.2120212365247305	0.15195071868583163	0.4542543977283539	1.0	19/61	12.95%	MAPK1;TAB2;RPS27A;UBE2V1;RPS6KA3;MAPK14;CUL1;MEF2A;SKP1;TAB3;PPP2CB;RPS6KA1;DUSP3;MAP2K4;UBE2N;BTRC;MAPKAPK2;MAPK7;DUSP7
C1	REACTOME	prerank	Interleukin-17 Signaling R-HSA-448424	0.35913674577353344	1.2109085251155574	0.15079365079365079	0.4543159627951192	1.0	19/65	12.95%	MAPK1;TAB2;RPS27A;UBE2V1;RPS6KA3;MAPK14;CUL1;MEF2A;SKP1;TAB3;PPP2CB;RPS6KA1;DUSP3;MAP2K4;UBE2N;BTRC;MAPKAPK2;MAPK7;DUSP7
C1	REACTOME	prerank	Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	-0.3774474289526393	-1.2092282303255184	0.14563106796116504	0.306077034327641	1.0	21/60	11.41%	DDX41;UBB;IKBKG;POLR3H;POLR2F;LRRFIP1;NFKBIA;NKIRAS2;POLR3D;POLR3GL;AIM2;POLR2E;TRIM21;POLR3E;TRIM56;NFKBIB;RIPK1;POLR3B;NFKB2;IRF3;UBC
C1	REACTOME	prerank	SIRT1 Negatively Regulates rRNA Expression R-HSA-427359	0.40383142517107373	1.2091315646929182	0.1962025316455696	0.4563314261212035	1.0	18/36	25.15%	H2AZ2;H2AC20;H2BC17;TAF1D;H2BC13;H2AZ1;SIRT1;H2AC7;H2BC4;H2BC11;H2BC9;H2BC3;H3C7;H2BC5;H2BC15;H2AC4;H2BC12;H2BC21
C1	REACTOME	prerank	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	0.3399108331264126	1.2075316946210253	0.1028225806451613	0.4579186622325241	1.0	30/94	10.30%	RPL15;RPS13;RSL24D1;RPS12;RPS27A;RPL41;RPS29;RPS15A;RPL31;RPS20;RPS2;RPL21;RPS27;RPL38;RPS27L;RPL39;RPS4X;RPL27A;RPL37A;RPL22L1;ASNS;RPL30;RPLP1;RPL10A;RPS21;RPL12;RPL7;RPS25;RPS24;RPS7
C1	REACTOME	prerank	tRNA Processing R-HSA-72306	0.33734053945567843	1.2073956152376655	0.11674008810572688	0.4556754869023856	1.0	32/98	16.87%	EPRS1;XPOT;RPP30;POM121;NUP153;NDC1;TRMT10C;RTRAF;RANBP2;NUP43;RPP38;NUP133;TSEN15;NUP35;TRMT10A;NUP155;NUP160;TYW3;POM121C;TRDMT1;NUP214;TSEN2;PRORP;TP53RK;NUP58;QTRT2;NSUN6;NUP54;FTSJ1;CDKAL1;TRMT11;NUP107
C1	REACTOME	prerank	Activation Of BAD And Translocation To Mitochondria R-HSA-111447	-0.5010048001415175	-1.20724285526246	0.21443298969072164	0.3083531503683513	1.0	8/15	14.18%	AKT1;YWHAE;YWHAB;YWHAH;YWHAG;PPP3CC;AKT2;BAD
C1	REACTOME	prerank	Norepinephrine Neurotransmitter Release Cycle R-HSA-181430	-0.48633641193806587	-1.2065834320350242	0.22053231939163498	0.3085215653919613	1.0	3/16	6.01%	STX1A;PPFIA1;PPFIA3
C1	REACTOME	prerank	Netrin-1 Signaling R-HSA-373752	-0.39498959178335685	-1.20620443075327	0.16920152091254753	0.3082194357042421	1.0	11/42	17.70%	EZR;MYO10;PKN1;SRC;FYN;MAPK11;ABLIM3;PLCG1;MAPK12;TRIO;PTK2
C1	REACTOME	prerank	Transcriptional Regulation By TP53 R-HSA-3700989	-0.298286588840009	-1.2057636143959372	0.05745062836624776	0.30798970413227905	1.0	76/338	11.80%	GTF2F1;SUPT5H;NPM1;SUPT16H;SSRP1;COX4I1;CHD4;EHMT1;GATAD2A;EHMT2;TAF3;NOC2L;CNOT3;UBB;JUN;NELFB;AKT1;YWHAE;NELFE;RRAD;CHD3;CTDP1;TAF7;MAPKAPK5;TAF1;POLR2F;ELOB;BRD7;YWHAB;LAMTOR4;PRMT1;GTF2F2;PCBP4;TPX2;ERCC2;BRPF3;BANP;TXNRD1;PRDX5;CDK9;RAD51D;BRD1;MOV10;CCNE2;DAXX;KAT6A;CDKN1B;TAF5;TSC1;TSC2;YWHAH;FASN;STK11;PPP1R13L;NUAK1;ING5;SMYD2;POLR2E;PPP2R1A;YWHAG;COX19;SESN1;COX6C;TNRC6A;MAPK11;TAF15;COX14;CNOT10;PRELID1;GTF2H1;DDIT4;ELOA;LAMTOR2;UBC;RAD9B;MTOR
C1	REACTOME	prerank	RNA Polymerase III Chain Elongation R-HSA-73780	-0.4911441331450766	-1.2047751885481262	0.214	0.3088799535359058	1.0	7/17	10.06%	POLR3H;POLR2F;POLR3D;POLR3GL;POLR2E;POLR3E;POLR3B
C1	REACTOME	prerank	Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277	0.4629806249089272	1.2043548438641576	0.23251028806584362	0.46069752804632313	1.0	4/19	6.22%	RBBP4;LIN54;E2F5;RBL1
C1	REACTOME	prerank	Resolution Of Abasic Sites (AP Sites) R-HSA-73933	-0.40135816399588675	-1.2039337294525472	0.17578125	0.3094206299561406	1.0	13/38	15.36%	PARP1;FEN1;POLD1;XRCC1;ADPRS;PNKP;POLE3;MUTYH;SLC19A1;POLG2;UNG;POLE;APEX1
C1	REACTOME	prerank	Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164	0.3374959434200054	1.2035672382254197	0.11324786324786325	0.4600236373389845	1.0	31/99	12.95%	MAPK1;TAB2;RPS27A;UBE2V1;RPS6KA3;MAPK14;CUL1;MEF2A;UBE2D3;BIRC2;SKP1;TICAM1;TANK;TAB3;PPP2CB;RPS6KA1;DUSP3;MAP2K4;TBK1;UBE2D2;UBE2N;TLR3;IKBIP;N4BP1;USP14;BTRC;UBE2D1;MAPKAPK2;IRF7;MAPK7;DUSP7
