signature	sig_type	direction	ensg	symbol	det_SS2	det_10X	det_Couturier
C5_STABLE_UP	C5 stable	up	ENSG00000140259.7	MFAP1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000196950.14	SLC39A10	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000136603.15	SKIL	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000271121.2	NUDT4P2	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000147955.18	SIGMAR1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000184903.10	IMMP2L	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000105246.6	EBI3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000135956.9	TMEM127	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000120156.22	TEK	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000261915.6		0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000105939.14	ZC3HAV1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000106991.14	ENG	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000155189.12	AGPAT5	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000196230.14	TUBB	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000168734.14	PKIG	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000147862.18	NFIB	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000153560.12	UBP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000137309.21	HMGA1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000106868.17	SUSD1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000101751.11	POLI	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000213080.3		0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000142453.12	CARM1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000146072.6	TNFRSF21	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000183479.13	TREX2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000170540.15	ARL6IP1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000185800.12	DMWD	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000125247.16	TMTC4	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000156802.13	ATAD2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000100823.12	APEX1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000175348.11	TMEM9B	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000174197.19	MGA	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000137955.16	RABGGTB	1	1	1
